Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
501,2023-05-14,CUST501,Male,39,Electronics,2,30,60
502,2023-04-02,CUST502,Male,43,Electronics,3,50,150
503,2023-10-25,CUST503,Male,45,Beauty,4,500,2000
504,2023-05-16,CUST504,Female,38,Beauty,3,50,150
505,2023-01-20,CUST505,Male,24,Beauty,1,50,50
506,2023-02-25,CUST506,Male,34,Beauty,3,500,1500
507,2023-11-02,CUST507,Female,37,Electronics,3,500,1500
508,2023-08-11,CUST508,Male,58,Beauty,2,300,600
509,2023-06-26,CUST509,Female,37,Electronics,3,300,900
510,2023-06-10,CUST510,Female,39,Beauty,4,50,200
511,2023-08-12,CUST511,Male,45,Beauty,2,50,100
512,2023-11-07,CUST512,Female,57,Beauty,1,25,25
513,2023-09-19,CUST513,Male,24,Electronics,4,25,100
514,2023-03-01,CUST514,Female,18,Electronics,1,300,300
515,2023-07-17,CUST515,Female,49,Clothing,3,300,900
516,2023-10-23,CUST516,Male,30,Beauty,4,25,100
517,2023-04-08,CUST517,Female,47,Clothing,4,25,100
518,2023-05-11,CUST518,Female,40,Clothing,1,30,30
519,2023-01-23,CUST519,Female,36,Electronics,4,30,120
520,2023-12-29,CUST520,Female,49,Electronics,4,25,100
521,2023-08-12,CUST521,Female,47,Clothing,4,30,120
522,2023-01-01,CUST522,Male,46,Beauty,3,500,1500
523,2023-09-24,CUST523,Female,62,Electronics,1,300,300
524,2023-10-03,CUST524,Male,46,Beauty,4,300,1200
525,2023-12-18,CUST525,Female,47,Beauty,2,25,50
526,2023-12-10,CUST526,Male,33,Clothing,2,50,100
527,2023-04-11,CUST527,Male,57,Clothing,2,25,50
528,2023-07-06,CUST528,Female,36,Clothing,2,30,60
529,2023-08-09,CUST529,Female,35,Clothing,3,50,150
530,2023-02-05,CUST530,Female,18,Electronics,4,30,120
531,2023-12-07,CUST531,Male,31,Electronics,1,500,500
532,2023-06-19,CUST532,Female,64,Clothing,4,30,120
533,2023-11-16,CUST533,Male,19,Electronics,3,500,1500
534,2023-06-10,CUST534,Male,45,Clothing,2,500,1000
535,2023-12-06,CUST535,Male,47,Beauty,3,30,90
536,2023-03-05,CUST536,Female,55,Beauty,4,30,120
537,2023-06-03,CUST537,Female,21,Beauty,1,500,500
